filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (Transliterated),Place (Farsi),City (LCSH or Transliterated),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (Transliterated),Names (Farsi),Title (English),Title (Farsi),Genre,typeOfResource,"Lat, Lon"
diaspora2_014.mp4,,,,,,,,Iran,ایران,People show their unity by uniformly creating noise as they gather in the streets to protest. They applause for one of the young people who has taken a shield and baton from the riot police.,مردم به اعتراض در خیابان ها جمع شده اند و برای نشان دادن اتحاد خود به طور هماهنگ سروصدا ایجاد می کنند. ,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_015.mp4,,,,,,,,Iran,ایران,"People gather in the streets to protest. They yell  ""Death to Khamenei"" and try to protect themselves from the riot police by moving the fences from sides of the streets to create a fort.","مردم در خیابان ها جمع شده اند و ""مرگ بر خامنه ای"" فریاد می زنند. آن ها سعی می کنند برای دفاع در برابر پلیس ضد شورش با حرکت دادن حصار های کنار خیابان برای خود سنگر درست کنند.",Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_016.mp4,,,,,,,,Iran,ایران,"People gather in the streets to protest. They try to protect themselves from the riot police by moving in groups and throwing rocks at the police. Eventually, they force the riot police to retreat.",مردم به اعتراض در خیابان ها جمع شده اند و سعی می کنند با حرکت گروهی و پرتاب سنگ از خود در برابر پلیس ضد شورش دفاع کنند. آن ها نهایتا پلیس را مجبور به عقب نشینی می کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_017.mp4,,,,,,,,Iran,ایران,"People gather in the streets to protest. They yell  ""Allahu Akbar (God is [the] Greatest)"" and try to protect themselves from the riot police by moving in groups and throwing rocks at the police.","مردم به اعتراض در خیابان ها جمع شده اند، شعار ""الله اکبر"" سر داده اند و سعی می کنند با حرکت گروهی و پرتاب سنگ از خود در برابر پلیس ضد شورش دفاع کنند.",Riot Police / Allahu Akbar,پلیس ضد شورش / الله اکبر,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_018.mp4,,,,,,,,Iran,ایران,"This video shows protests happening within days in different areas. In parts it shows the riot police is trying to break into a building where protesters have run away into. In other parts people protest in the streets at night by chanting “Down with the dictator”. People exclaim their support for Mousavi (the opposition leader in the after elections unrest) by scream “Mousavi, Mousavi, we will support you”. People show their dissatisfaction by occupying the streets and making fire and they are faced with the riot police.","در این ویدیو تظاهرات چندروزه در مناطق مختلف نشان داده شده است. در بخشی از ویدیو پلیس ضد شورش به خانه ها حمله کرده است و با شکستن در و پنجره ها به دنبال افرادی است که از تظاهرات در خیابان ها فرار کرده اند. در بخش های دیگر مردم را می بینم که در پی اعتراض خود در خیابان ها جمع شده و فریاد ""مرگ بر دیکتاتور"" سر داده اند. مردم حمایت خود از موسوی را با فریاد ""موسوی، موسوی، حمایتت می کنیم"" اعلام می کنند. مردم برای اعلام نارضایتی خود در خیابان ها آتش روشن کرده و با پلیس ضد شورش مواجه می شوند.","Mousavi, Mousavi, We Support You / Riot Police / Down with the Dictator",موسوی، موسوی، حمایتت می کنیم / پلیس ضد شورش / مرگ بر دیکتاتور,Mir-Hossein Mousavi,میر حسین موسوی,Protest ,تظاهرات,video recordings,moving image,
diaspora2_019.mp4,,,,,,,,Iran,ایران,"PePeople protest in the streets and struggle with the riot police but people outnumber the police and therefore the police can't do much. They shout different slogans such as ""Army brother, why are you killing your own brother?,"" ""Down with the dictator,"" and ""I will hit [with stones] whoever kills my brothers"".","مردم در خیابان جمع و با پلیس ضد شورش درگیر شده اند اما تعداد آن ها از پلیس بیشتر است و نهایتا پلیس را مجبور به عقب نشینی می کنند. آن ها شعارهای همچون ""برادر ارتشی، چرا برادر کشی؟""، ""می زنم، می زنم، هرکه برادرم کشت""، و ""مرگ بر دیکتاتور"" فریاد می زنند.","Riot Police / Down with the Dictator/ Military brothers, why do you murder your brother / I will hit whoevere killed my brother ",پلیس ضد شورش / مرگ بر دیکتاتور / برادر ارتشی، چرا برادر کشی / می زنم، می زنم، هرکه برادرم کشت,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_020.mp4,,,,,,,,Iran,ایران,People gather in the streets to protest. They try to protect themselves from the riot police by moving in groups and throwing rocks at the police.,مردم به اعتراض در خیابان ها جمع شده اند و سعی می کنند با حرکت گروهی و پرتاب سنگ از خود در برابر پلیس ضد شورش دفاع کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_021.mp4,,,,,,,,Iran,ایران,"People gather in the streets to protest. They try to protect themselves from the riot police by moving in groups and throwing rocks at the police. Eventually, they force the riot police to retreat.",مردم به اعتراض در خیابان ها جمع شده اند و سعی می کنند با حرکت گروهی و پرتاب سنگ از خود در برابر پلیس ضد شورش دفاع کنند. آن ها نهایتا پلیس را مجبور به عقب نشینی می کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_022.mp4,,,,,,,,Iran,ایران,A large number of police are gathered to clear the streets. They are beating people as they arrest them.,عده ای زیادی پلیس در خیابان جمع شده اند تا مردم را پراکنده کنند. آن ها با باتوم های خود به مردم حمله کرده و آن ها را دستگیر می کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_023.mp4,,,,,,,,Iran,ایران,Police are trying to clear the streets from protesters by beating them with their batons.,پلیس برای پراکنده کردن تظاهرات کنندگان با خشونت به آن ها حمله می کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_024.mp4,,,,,,,,Iran,ایران,A large number of people gather in the streets to show their anger at the government. They occupy the streets and light a fire to protest.,گروه بزرگی از مردم به اعتراض در خیابان تجمع کرده و آتش روشن کرده اند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_025.mp4,,,,,,,,Iran,ایران,People have taken over a riot police motorcycle and set it on fire. The officer is surrounded by people and is trying to escape. ,مردم موتور یکی از پلیس های ضد شورش را به عنوان اعتراض آتش زده اند. این پلیس توسط مردم احاطه شده است و سعی می کند فرار کند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_026.mp4,,,,,,,,Iran,ایران,Basij forces arrest someone by violently forcing him to get on the motorcycle with them.,لباس شخصی ها با خشونت شخصی را دستگیر می کنند. آن ها او را به زور سوار موتور خود کرده و می برند.,Basij,بسیج ,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_027.mp4,,,,,,,,Iran,ایران,A large number of people start running away from the streets as basij and riot police start to attack people.,بسیج و پلیس ضد شورش با خشونت به مردم حمله می کنند و مردم شروع به دویدن و پراکنده شدن می کنند.,Riot Police / Basij,پلیس ضد شورش / بسیج,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_028.mp4,,,,,,,,Iran,ایران,A large number of basij forces on motorcycles and riot police with batons and gaurds are attempting to emty the streets from protesters violently by attacking them and following them to make them run away.,عده بسیار زیادی بسیجی موتور سوار و پلیس ضد شورش با باتوم و سپر با خشونت مردم را پراکنده می کنند. آن ها به مردم حمله می کنند و آن ها را دنبال می کنند تا مردم مجبور به فرار شوند.,Riot Police / Basij,پلیس ضد شورش / بسیج,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_029.mp4,,,,,,,,Iran,ایران,People gather in the streets to show their anger at the government by lighting a fire.,مردم برای اعتراض در خیابان جمع شده اند و آتش روشن کرده اند.,Protest / Bonfire,تظاهرات / آتش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_030.mp4,,,,,,,,Iran,ایران,People run away as basij forces start to violently attack them.,نیروهای بسیج با خشونت به مردم حمله و آن ها را مجبور به پراکنده شدن می کنند.,Basij / Police Brutality,بسیج / خشونت پلیس,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_031.mp4,,,,,,,,Iran,ایران,"People chant ""Down with the dictator"" in the subway stairs.","مردم در پله های مترو شعار ""مرگ بر دیکتاتور"" سر داده اند.",Subway / Down with the Dictator,مترو / مرگ بر دیکتاتور,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_032.mp4,,,,,,,,Iran,ایران,"People chant slogans such as ""Allahu Akbar (God is [the] Greatest)"" and ""Ya Hossein, Mir Hossein"" from rooftops at night to continue their protests. (The phrase ""Allahu Akbar"", was used during the Iranian revolution in 1979, as Iranians took to their roofs and shouted ""Allahu Akbar"" in defiance of the shah's regime. Iranians returned to the ritual in the aftermath of the fraudulent 2009 presidential election).","مردم بر فراز پشت بام ها فریاد ""الله اکبر"" و ""یا حسین، میر حسین"" سر داده اند.",Rooftop / Allahu Akbar / Ya Hossein Mir Hossein,پشت بام / الله اکبر / یا حسین میر حسین,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_033.mp4,,,,,,,,Iran,ایران,"Protesters chant slogans such as ""Confessions, Torture, don't affect us anymore"", ""Khamenei is a murderer; his leadership is illegitimate"", ""Zealous Iranians, support [Green Movement]"", and ""Our Neda was our voice, the loudest voice"" (Ironically, the word Nedā (ندا) in Persian literature means ""voice"" and ""calling"". After Neda’s death, she has been referred to as the ""voice of Iran”)","تظاهرات کنندگان شعارهای مختلفی فریاد می زنند، از قبیل ""خامنه ای قاتله، ولایتش باطله""، ""ندای ما ندا بود ، بالاترین صدا بود"" (اشاره به ندا آقاسلطان)، ""ایرانی با غیرت، حمایت حمایت""، ""اعتراف، شکنجه، دیگر اثر ندارد"".","Confessions, Torture, don't affect us anymore / Khamenei is a murderer; his leadership is illegitimate / Zealous Iranians, support / Our Neda was our voice, the loudest voice",اعتراف، شکنجه، دیگر اثر ندارد / خامنه ای قاتله، ولایتش باطله / ایرانی با غیرت، حمایت حمایت / ندای ما ندا بود، بالاترین صدا بود ,Neda Agha-Soltan / Ali Khamenei,ندا آقاسلطان / علی,Protest ,تظاهرات,video recordings,moving image,
diaspora2_034.mp4,,,,,,,,Iran,ایران,"Protesters chant slogans such as ""Confessions, Torture, don't affect us anymore"".","تظاهرات کنندگان شعارهای مختلفی فریاد می زنند، از قبیل ""اعتراف، شکنجه، دیگر اثر ندارد"".",Torture,شکنجه,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_035.mp4,,,,,,,,Iran,ایران,"Protesters chant slogans such as ""Confessions, Torture, don't affect us anymore,"" ""down with you [Ahmadinejad]"".","تظاهرات کنندگان شعارهای مختلفی فریاد می زنند، از قبیل ""اعتراف، شکنجه، دیگر اثر ندارد"" و ""مرگ بر تو"".",Torture ,شکنجه,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_036.mp4,,,,Hafte Tir Square,میدان هفت تیر,Tehran (Iran),تهران,Iran,ایران,Basij forces violently try to disperse people from Haft-e Tir (7th of Tir) square.,بسیجی ها سعی می کنند با خشونت میدان هفت تیر را از مردم خالی کنند.,Police Brutality / Basij,خشونت پلیس / بسیج,,,Protest ,تظاهرات,video recordings,moving image,"35.7096104949, 51.4222699776"
diaspora2_037.mp4,۱۳۸۸/۵/۱۴,8/5/09,2009-08-05,Saei Park,پارک ساعی,Tehran (Iran),تهران,Iran,ایران,People are trying to help someone who has been wounded by the police.,مردم در تلاشند تا به فردی که مورد خشونت پلیس واقع شده کمک کنند.,Police Brutality ,خشونت پلیس ,,,Protest ,تظاهرات,video recordings,moving image," 35.736187, 51.410933"
diaspora2_038.mp4,,,,,,,,Iran,ایران,"People gather in the street to protest by chanting ""Allahu Akbar (God is [the] Greatest)"". (The phrase was used during the Iranian revolution in 1979, as Iranians took to their roofs and shouted ""Allahu Akbar"" in defiance of the shah's regime. Iranians returned to the ritual in the aftermath of the fraudulent 2009 presidential election). Police try to disperse the crowd by using tear gas.",مردم در خیابان جمع شده اند و فریاد الله اکبر سر داده اند. پلیس سعی می کند با گاز اشک آور، مردم را پراکنده کند.,Police / Tear Gas / Allahu Akbar,پلیس / گاز اشک آور / الله اکبر,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_039.mp4,,,,,,,,Iran,ایران,A large number of riot police ride around streets on their motorcycle to make sure people don't gather in protest.,تعداد زیادی پلیس ضد شورش با موتورهای خود در خیابان ها گشت می زنند تا از جمع شدن مردم جلوگیری کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_040.mp4,,,,,,,,Iran,ایران,A large number of riot police ride around streets on their motorcycle to make sure people don't gather in protest.,تعداد زیادی پلیس ضد شورش با موتورهای خود در خیابان ها گشت می زنند تا از جمع شدن مردم جلوگیری کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_041.mp4,,,,,,,,Iran,ایران,"A very large group of people protest in the streets by chanting slogans such as ""Allahu Akbar (God is [the] Greatest)"". (The phrase was used during the Iranian revolution in 1979, as Iranians took to their roofs and shouted ""Allahu Akbar"" in defiance of the shah's regime. Iranians returned to the ritual in the aftermath of the fraudulent 2009 presidential election). Drivers accompany the street protesters by honking.","گروه بسیار بزرگی از مردم در خیابان جمع شده اند و فریاد ""الله اکبر"" سر داده اند. راننده های ماشین ها نیز با بوق زدن، این اعتراض ها را همراهی می کنند.",Riot Police / Allahu Akbar,پلیس ضد شورش /  الله اکبر,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_042.mp4,,,,,,,,Iran,ایران,"People yell ""Death to Khamenei"", ""Down with Basij"", and ""Military and Basij forces won’t stop us"" at Basij forces who are violently attacking one of the protesters.","مردم در اعتراض یه ضرب و شتم یکی از معترضین توسط گروهی بسیجی فریاد ""مرگ بر خامنه ای""، ""مرگ بر  بسیجی"" و ""توپ، تانک، بسیجی، دیگر اثر ندارد"" سر داده اند.",Death to Khamenei / Down with Basij / Military and Basij forces won’t stop us, مرگ بر خامنه ای / مرگ بر  بسیجی / توپ، تانک، بسیجی، دیگر اثر ندارد,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_043.mp4,,,,,,,,Iran,ایران,"People are running away from Riot police and screaming ""Allahu Akbar (God is [the] Greatest)"". (The phrase was used during the Iranian revolution in 1979, as Iranians took to their roofs and shouted ""Allahu Akbar"" in defiance of the shah's regime. Iranians returned to the ritual in the aftermath of the fraudulent 2009 presidential election)",مردم در حال فرار از پلیس ضد شورش، فریاد الله اکبر سر داده اند.,Riot Police / Allahu Akbar,پلیس ضد شورش /  الله اکبر,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_044.mp4,,,,,,,,Iran,ایران,Basij forces are attacking those who take videos by throwing rocks at the windows and breaking them.,نیروهای بسیجی با پرتاب سنگ به پنجره ها، به کسانی که فیلم برداری می کنند، حمله کرده اند.,Basiji / Police Brutality ,بسیج / خشونت پلیس,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_045.mp4,,,,,,,,Iran,ایران,Riot Police vandalized the neighborhood building and cars after the protesters had left the street. People discuss how they could see them from their windows and how the baton left from the police was proof of their vandalization.,پلیس ضد شورش، بعد از پراکنده کردن مردم از خیابان ها، به ساختمان ها و ماشین های منطقه حمله کرده و شیشه ها را شکسته است. مردم از درون ساختمان شاهد این حمله ها بوده اند و باتوم های پلیس هم شواهد بیشتری بر این حمله هاست.,Riot Police / Police Brutality / Vandalization,پلیس ضد شورش / خشونت پلیس / تخریب اموال عمومی ,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_046.mp4,,,,,,,,Iran,ایران,Riot Police vandalized the neighborhood building and cars after the protesters had left the street.,پلیس ضد شورش، بعد از پراکنده کردن مردم از خیابان ها، به ساختمان ها و ماشین های منطقه حمله کرده است.,Riot Police / Police Brutality / Vandalization,پلیس ضد شورش / خشونت پلیس / تخریب اموال عمومی ,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_047.mp4,,,,,,,,Iran,ایران,Riot Police vandalized the cars in the streets after the protesters had already left.,پلیس ضد شورش، بعد از پراکنده کردن مردم از خیابان ها، به  ماشین های پارک شده در خیابان حمله کرده است.,Riot Police / Police Brutality / Vandalization,پلیس ضد شورش / خشونت پلیس / تخریب اموال عمومی ,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_048.mp4,,,,,,Tehran (Iran),تهران,Iran,ایران,Riot Police vandalized the cars in the streets after the protesters had already left.,پلیس ضد شورش، بعد از پراکنده کردن مردم از خیابان ها، به  ماشین های پارک شده در خیابان حمله کرده است.,Riot Police / Police Brutality / Vandalization,پلیس ضد شورش / خشونت پلیس / تخریب اموال عمومی ,,,Protest ,تظاهرات,video recordings,moving image,"35.689198, 51.388974"
diaspora2_049.mp4,,,,,,,,Iran,ایران,Riot Police have vandalized the cars in the streets.,پلیس ضد شورش به ماشین های پارک شده در خیابان حمله کرده است.,Riot Police / Police Brutality / Vandalization,پلیس ضد شورش / خشونت پلیس / تخریب اموال عمومی ,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_050.mp4,,,,Vanak Square,میدان ونک,Tehran (Iran),تهران,Iran,ایران,"People gather in the street to protest by chanting ""Allahu Akbar (God is [the] Greatest)"". (The phrase was used during the Iranian revolution in 1979, as Iranians took to their roofs and shouted ""Allahu Akbar"" in defiance of the shah's regime. Iranians returned to the ritual in the aftermath of the fraudulent 2009 presidential election).",مردم در خیابان جمع شده اند و فریاد الله اکبر سر داده اند., Allahu Akbar,الله اکبر,,,Protest ,تظاهرات,video recordings,moving image,"35.757432, 51.409447"
diaspora2_051.mp4,,,,Vanak Square,میدان ونک,Tehran (Iran),تهران,Iran,ایران,People scream in objection to the arrest of a woman.,مردم در اعتراض به دستگیری یک زن در میدان ونک هیاهو می کنند.,Police Brutality,خشونت پلیس,,,Protest ,تظاهرات,video recordings,moving image,"35.757432, 51.409447"
diaspora2_052.mp4,,,,,,,,Iran,ایران,"A very large group of people protest in the streets by chanting slogans such as ""Down with the dictator"". Drivers accompany the street protesters by honking.","گروه بسیار بزرگی از مردم در خیابان جمع شده اند و فریاد ""مرگ بر دیکتاتور"" سر داده اند. راننده های ماشین ها نیز با بوق زدن، این اعتراض ها را همراهی می کنند.",Down with the Dictator,مرگ بر دیکتاتور,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_053.mp4,,,,,,,,Iran,ایران,"People have gathered in the streets at night to protest by chanting slogans such as ""Yar-e-dabestani e-man (my grade school friend)"", ""Down with the Dictator"",  ""Freedom of thought can't be achieved from the window"" (calling for people to join in on the action in the streets), ""Zealous neighbors, support, support [the green movement]"" and ""Mahmoud the traitor, we wish you would become vagrant, you destroyed our country, you killed the youth; you slaughtered thousands, down with you, down with you"".","مردم در خیابان جمع شده اند و شعاهای همچون ""یار دبستانی من""، ""مرگ بر دیکتاتور""،  ""آزادی اندیشه، با پنج نفر نمیشه""، "" همسایه با غیرت، حمایت، حمایت"" و ""محمود خائن، آواره گردی","My grade school friend / Down with the Dictator / Freedom of thought can't be achieved with five people / Zealous neighbors, support, support / Mahmoud the traitor, we wish you would become vagrant, you destroyed our country, you killed the youth; you slaughtered thousands, down with you, down with you",یار دبستانی من / مرگ بر دیکتاتور / آزادی اندیشه، با پنج نفر نمیشه / همسایه با غیرت، حمایت، حمایت / محمود خائن، آواره گردی,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_054.mp4,,,,,,Shiraz,شیراز,Iran,ایران,"People gather in the streets to protest by chanting slogans such as ""People of Shiraz are awake, and they hate Ahmadinejad"" and ""Dwarf dictator, go play"". (Following Ahmadinejad's claim of power, people attempt to undermine his power and authority)","مردم به اعتراض در خیابان ها جمع شده اند و شعارهای از جمله ""شیرازیا بیدارن، از احمدی بیزارن""  و ""دیکتاتور کوتوله، اتل متل توتوله"" سر داده اند.","People of Shiraz are awake, and they hate Ahmadinejad / Dwarf dictator, go play",شیرازیا بیدارن، از احمدی بیزارن / دیکتاتور کوتوله، اتل متل توتوله,,,Protest ,تظاهرات,video recordings,moving image,"29.591768, 52.583698"
diaspora2_055.mp4,۱۳۸۸/۳/۲۴,6/14/09,2009-06-14,,,Isfahan,اصفهان,Iran,ایران,"People gather in the streets to protest and chant ""Allahu Akbar (God is [the] Greatest)"". (The phrase was used during the Iranian revolution in 1979, as Iranians took to their roofs and shouted ""Allahu Akbar"" in defiance of the shah's regime. Iranians returned to the ritual in the aftermath of the fraudulent 2009 presidential election) They try to protect themselves from the riot police by moving in groups and throwing rocks at the police. A large number of Riot Police throw rocks at people and try to disperse them. Eventually, they force the riot police to retreat.",مردم به اعتراض در خیابان ها جمع شده اند و شعار الله اکبر می دهند. آن ها سعی می کنند با حرکت گروهی و پرتاب سنگ از خود در برابر پلیس ضد شورش دفاع کنند و نهایتا پلیس را مجبور به عقب نشینی می کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,"32.654627, 51.667983"
